Pre,ws,wd,wtr crp1,wtr crp2,wtr crp3,smr,smb,ir1,ir2,ir3
7,17km/hr,SE,10,9.6,6.15,3,1.8,3,2.6,-0.85
5,12km /hr,WSW,10,9.6,6.15,3,1.8,5,4.6,1.15
4,13km/hr,NNW,10,9.6,6.15,3,1.8,6,5.6,2.15
5,10km/hr,NE,10,9.6,6.15,3,1.8,5,4.6,1.15
10,12km/hr,SE,10,9.6,6.15,3,1.8,0,-0.4,-3.85
11,12km/hr,SSE,10,9.6,6.15,3,1.8,-1,-1.4,-4.85
3,12km/hr,SSE,10,9.6,6.15,3,1.8,7,6.6,3.15
20,17km/hr,SE,10,9.6,6.15,3,1.8,-10,-10.4,-13.85
8,16km/hr,SE,10,9.6,6.15,3,1.8,2,1.6,-1.85
11,14km/hr,ESE,10,9.6,6.15,3,1.8,-1,-1.4,-4.85
24,14km/hr,ESE,10,9.6,6.15,3,1.8,-14,-14.4,-17.85
20,14km/hr,ESE,10,9.6,6.15,3,1.8,-10,-10.4,-13.85
7,13km/hr,ESE,10,9.6,6.15,3,1.8,3,2.6,-0.85
1,13km/hr,ESE,10,9.6,6.15,3,1.8,9,8.6,5.15
2,12km/hr,ESE,10,9.6,6.15,3,1.8,8,7.6,4.15